Affermazione|I like speaking English|Mi piace parlare Inglese
Affermazione|You are intelligent|Sei intelligente!
Affermazione|You are very fast!|Sei molto veloce!
Affermazione|You did it!|Ce l'hai fatta!
Affermazione|You learned a lot!|Hai imparato molto!
Affermazione|You're right|Hai ragione
Aggettivi - dimensioni|Big|Grande
Aggettivi - dimensioni|Huge|Enorme
Aggettivi - dimensioni|Large|Largo/Grande
Aggettivi - dimensioni|Long|Lungo
Aggettivi - dimensioni|Narrow|Stretto
Aggettivi - dimensioni|Short|Corto
Aggettivi - dimensioni|Small|Piccolo
Aggettivi - dimensioni|Tall|Alto
Aggettivi - dimensioni|Thick|Spesso
Aggettivi - dimensioni|Thin|Sottile
Aggettivi - dimensioni|Tiny|Piccolissimo
Aggettivi - dimensioni|Wide|Ampio
Aggettivi - qualità|Amazing|Incredibile
Aggettivi - qualità|Awful|Terribile
Aggettivi - qualità|Bad|Cattivo
Aggettivi - qualità|Beautiful|Bello
Aggettivi - qualità|Cold|Freddo
Aggettivi - qualità|Difficult|Difficile
Aggettivi - qualità|Easy|Facile
Aggettivi - qualità|Excellent|Eccellente
Aggettivi - qualità|Fast|Veloce
Aggettivi - qualità|Good|Buono
Aggettivi - qualità|Hot|Caldo
Aggettivi - qualità|New|Nuovo
Aggettivi - qualità|Nice|Carino
Aggettivi - qualità|Old|Vecchio
Aggettivi - qualità|Perfect|Perfetto
Aggettivi - qualità|Slow|Lento
Aggettivi - qualità|Terrible|Terribile
Aggettivi - qualità|Ugly|Brutto
Al Bar / Caffetteria|Can I get this to go?|Posso averlo da asporto?
Al Bar / Caffetteria|Could I have almond milk instead?|Potrei avere latte di mandorla?
Al Bar / Caffetteria|Extra shot of espresso, please|Un caffè in più, grazie
Al Bar / Caffetteria|I'd like a cappuccino, please|Vorrei un cappuccino
Al Bar / Caffetteria|Is service included?|Il servizio è incluso?
Al Bar / Caffetteria|Keep the change|Tenga il resto
Al Bar / Caffetteria|No sugar, please|Senza zucchero, grazie
Al Bar / Caffetteria|What's your specialty?|Qual è la vostra specialità?
Alimentari / Supermercato|Can I get 200g of ham?|Posso avere 200g di prosciutto?
Alimentari / Supermercato|Could I have a receipt?|Potrei avere lo scontrino?
Alimentari / Supermercato|Do you sell organic vegetables?|Vendete verdure biologiche?
Alimentari / Supermercato|Do you take reusable bags?|Accettate borse riutilizzabili?
Alimentari / Supermercato|How much is this per kilo?|Quanto costa al chilo?
Alimentari / Supermercato|Is there a discount if I buy two?|C'è uno sconto se ne prendo due?
Alimentari / Supermercato|Is this gluten-free?|Senza glutine?
Alimentari / Supermercato|Where can I find the milk?|Dove trovo il latte?
Alla pompa di benzina|Can you check the oil/water?|Può controllare l'olio/l'acqua?
Alla pompa di benzina|Could you clean the windshield?|Può pulire il parabrezza?
Alla pompa di benzina|Do you take contactless?|Accettate pagamenti contactless?
Alla pompa di benzina|Fill it up, please|Faccia il pieno, per favore
Alla pompa di benzina|How much is gas per liter/gallon?|Quanto costa il carburante al litro/gallone?
Alla pompa di benzina|I need to fill up the tank|Devo fare il pieno
Alla pompa di benzina|I'll pay by card/cash|Pago con carta/contanti
Alla pompa di benzina|Is there air for the tires?|C'è l'aria per le gomme?
Alla pompa di benzina|Just half a tank|Solo mezzo serbatoio
Alla pompa di benzina|Pump number 3, please|Pompa numero 3, grazie
Alla pompa di benzina|Regular/Unleaded/Diesel, please|Benzina verde/Gasolio, per favore
Alla pompa di benzina|Stop at €40|Fermati a 40 euro
Alla pompa di benzina|€50 worth, please|50 euro, grazie
Animali domestici|Do you have any pets?|Hai animali domestici?
Animali domestici|I would like to buy some kibble for my cat|Vorrei comprare i croccantini per il mio gatto
Animali domestici|I'm afraid of dogs|Ho paura dei cani
Animali domestici|My dog is friendly|Il mio cane è socievole
Animali domestici|What's your pet's name?|Come si chiama il tuo animale?
Assicurazioni|How long will the claim process take?|Quanto durerà la pratica del sinistro?
Assicurazioni|I need a copy of my policy|Ho bisogno di una copia della mia polizza
Assicurazioni|I need to add a driver to my policy|Devo aggiungere un conducente alla mia polizza
Assicurazioni|I need to make a claim|Devo fare un reclamo
Assicurazioni|I need to update my coverage|Devo aggiornare la mia copertura
Assicurazioni|I've had an insurance event|Ho avuto un sinistro
Assicurazioni|My policy number is...|Il mio numero di polizza è...
Assicurazioni|What does my insurance cover?|Cosa copre la mia assicurazione?
Assicurazioni|What's my deductible?|Qual è la mia franchigia?
Assicurazioni|Where do I send the documents?|Dove devo inviare i documenti?
Banca e soldi|ATM|Bancomat
Banca e soldi|Can I exchange money here?|Posso cambiare soldi qui?
Banca e soldi|Can I pay by card?|Posso pagare con la carta?
Banca e soldi|Cash|Contanti
Banca e soldi|Check|Assegno
Banca e soldi|Credit card|Carta di credito
Banca e soldi|Debit card|Carta di debito
Banca e soldi|How much does it cost?|Quanto costa?
Banca e soldi|I need to withdraw money|Devo prelevare dei soldi
Banca e soldi|I'd like to open an account|Vorrei aprire un conto
Banca e soldi|It's cheap|È economico
Banca e soldi|It's expensive|È costoso
Banca e soldi|What's the exchange rate?|Qual è il tasso di cambio?
Banca e soldi|Where's the nearest ATM?|Dov'è il bancomat più vicino?
Chiarimenti|Can you say that again?|Puoi dirlo di nuovo?
Chiarimenti|Can you speak slower?|Puoi parlare più lentamente?
Chiarimenti|Can you write it down for me?|Puoi scrivermelo?
Chiarimenti|Do you speak English?|Parli Inglese?
Chiarimenti|Do you understand?|Capisci?
Chiarimenti|I don't know|Non lo so
Chiarimenti|I don't understand|Non capisco
Chiarimenti|I speak a little bit of Spanish|Parlo un po' di Spagnolo
Chiarimenti|I think you said…|Credo che tu abbia detto…
Chiarimenti|I'm sorry|Mi dispiace
Chiedere e dare pareri|Everyone should…|Tutti dovrebbero…
Chiedere e dare pareri|I agree|Sono d'accordo
Chiedere e dare pareri|I disagree|Non sono d'accordo
Chiedere e dare pareri|If it was me…|Se fossi in te…
Chiedere e dare pareri|In my opinion…|Secondo me…
Chiedere e dare pareri|It doesn't matter|Non importa
Chiedere e dare pareri|What do you think about that?|Cosa ne pensi?
Chiedere e dare pareri|What do you think about…?|Cosa pensi di…?
Chiedere e dare pareri|… is better than …|… è meglio di …
Chiedere e dare pareri|… is worse than …|… è peggio di …
Cibo e Cucina|Could I have some water?|Potrei avere dell'acqua?
Cibo e Cucina|Could I have the recipe?|Potrei avere la ricetta?
Cibo e Cucina|Does this contain gluten?|Questo contiene glutine?
Cibo e Cucina|How do I know when it's cooked?|Come faccio a sapere quando è cotto?
Cibo e Cucina|How long should I bake this?|Per quanto tempo devo infornare?
Cibo e Cucina|I'd like to order takeaway|Vorrei ordinare da asporto
Cibo e Cucina|I'm a vegetarian|Sono vegetariano
Cibo e Cucina|I'm following a recipe|Sto seguendo una ricetta
Cibo e Cucina|The food is too salty|Il cibo è troppo salato
Cibo e Cucina|This needs more seasoning|Questo ha bisogno di più condimento
Clima|It's chilly today|Oggi fa fresco
Clima|It's pouring outside!|Sta diluviando!
Clima|The weather is unpredictable|Il tempo è incerto
Colori|Black|Nero
Colori|Blue|Blu
Colori|Brown|Marrone
Colori|Dark green|Verde scuro
Colori|Gray / Grey|Grigio
Colori|Green|Verde
Colori|I like the blue one|Mi piace quello blu
Colori|It's red|È rosso
Colori|Light blue|Azzurro
Colori|Light pink|Rosa chiaro
Colori|Orange|Arancione
Colori|Pink|Rosa
Colori|Purple|Viola
Colori|Red|Rosso
Colori|She's wearing a green dress|Indossa un vestito verde
Colori|The car is white|La macchina è bianca
Colori|What color is it?|Di che colore è?
Colori|White|Bianco
Colori|Yellow|Giallo
Come avviare una frase al futuro|Do you want to meet tomorrow?|Ti va di vederci domani?
Come avviare una frase al futuro|Do you want to…?|Ti va di…?
Come avviare una frase al futuro|Future predictions|Previsioni
Come avviare una frase al futuro|Going to|Piani già stabiliti "I'm going to study tonight"
Come avviare una frase al futuro|I don't plan to stay long|Non piano di rimanere a lungo
Come avviare una frase al futuro|I hope it won't rain|Spero non piova
Come avviare una frase al futuro|I hope to see you soon|Spero di vederti presto
Come avviare una frase al futuro|I hope to…|Spero di…
Come avviare una frase al futuro|I may change jobs|Potrei cambiare lavoro
Come avviare una frase al futuro|I might not come|Potrei non venire
Come avviare una frase al futuro|I might visit Rome|Potrei visitare Roma
